Timestamp,measurement_ID,sample_ID,pfas_ID,mean_arithmetic,mean_comment,SE,SE_comment,SD,SD_comment,n_total,group_info,LOQ,median,LOD,min,max,min_max_comment,n_comment,LOQ_comment,LOD_comment,mean_geometric,limit_type,n,measurement_comment
22/06/2022 15:46,m_012,sm_005,pfas_008,1.2376,"Arithmetic mean percent reported in the study = 23.8 +- 4.5. The study provides the ΣPFCA = 5.2 +- 3.8 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.234,We calculated the SE from the standard error of the aritmetic mean percent.,0.661851947,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,mean_arithmetic=(ΣPFCA/100)*PFCA type arithmetic mean percent. SE=(ΣPFCA/100)*SE of the PFCA type arithmetic mean percent. SD=SE/SQRT(n).
22/06/2022 15:49,m_013,sm_005,pfas_009,1.4768,"Arithmetic mean percent reported in the study = 28.4 +- 2.7. The study provides the ΣPFCA = 5.2 +- 3.8 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.1404,We calculated the SE from the standard error of the aritmetic mean percent.,0.397111168,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,mean_arithmetic=(ΣPFCA/100)*PFCA type arithmetic mean percent. SE=(ΣPFCA/100)*SE of the PFCA type arithmetic mean percent. SD=SE/SQRT(n).
22/06/2022 15:52,m_014,sm_005,pfas_010,1.2428,"Arithmetic mean percent reported in the study = 23.9 +- 2.4. The study provides the ΣPFCA = 5.2 +- 3.8 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.1248,We calculated the SE from the standard error of the aritmetic mean percent.,0.352987705,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,mean_arithmetic=(ΣPFCA/100)*PFCA type arithmetic mean percent. SE=(ΣPFCA/100)*SE of the PFCA type arithmetic mean percent. SD=SE/SQRT(n).
22/06/2022 15:54,m_015,sm_005,pfas_011,0.04367767,(ng/g ww). Not provided. We estimated the mean using the formula from Wan et al. (2014) Scenario 1.,NA,NA,0.005802768,Not provided. We estimated the SD using the formula from Wan et al. (2014) Scenario 1.,8,adult,0.05,0.04367767,NA,0.035355339,0.052,"Percent range reported in the study = 0 - 1. The study provides the ΣPFCA = 5.2 +- 3.8 (mean +- SE, ng/g ww) from which we can calculate the max value. Min and Median = LOQ value / SQRT(2)","""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min. max. percent range is given."". We estimated the median by adding the minimum and maximum value and dividing the result by two."
22/06/2022 15:56,m_016,sm_005,pfas_012,0.30107767,(ng/g ww). Not provided. We estimated the mean using the formula from Wan et al. (2014) Scenario 1.,NA,NA,0.185275645,Not provided. We estimated the SD using the formula from Wan et al. (2014) Scenario 1.,8,adult,0.05,0.30107767,NA,0.035355339,0.5668,"Percent range reported in the study = 0 - 10.9. The study provides the ΣPFCA = 5.2 +- 3.8 (mean +- SE, ng/g ww) from which we can calculate the max value. Min and Median = LOQ value / SQRT(2)","""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min. max. percent range is given."". We estimated the median by adding the minimum and maximum value and dividing the result by two."
22/06/2022 15:57,m_017,sm_005,pfas_013,0.41547767,(ng/g ww). Not provided. We estimated the mean using the formula from Wan et al. (2014) Scenario 1.,NA,NA,0.265041368,Not provided. We estimated the SD using the formula from Wan et al. (2014) Scenario 1.,8,adult,0.05,0.41547767,NA,0.035355339,0.7956,"Percent range reported in the study = 0 - 15.3. The study provides the ΣPFCA = 5.2 +- 3.8 (mean +- SE, ng/g ww) from which we can calculate the max value. Min and Median = LOQ value / SQRT(2)","""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min. max. percent range is given."". We estimated the median by adding the minimum and maximum value and dividing the result by two."
22/06/2022 15:58,m_018,sm_005,pfas_014,0.035355339,Mean = LOQ value / SQRT(2),NA,NA,NA,NA,8,adult,0.05,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""","""Value under the method limits of quantitation (MLOQs). MLOQs for PFSAs and PFCAs were <0.1 and <0.05 ng/g ww, respectively.""",NA,NA,LOQ,8,NA
,m_019,sm_005,pfas_023,5.2,(ng/g ww),3.8,NA,10.74802307,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,NA
22/06/2022 16:02,m_020,sm_006,pfas_004,0.072855339,(ng/g ww). Not provided. We estimated the mean using the formula from Wan et al. (2014) Scenario 1.,NA,NA,0.001495371,Not provided. We estimated the SD using the formula from Wan et al. (2014) Scenario 1.,8,adult,0.1,0.072855339,NA,0.070710678,0.075,"Percent range reported in the study = 0 - 1.5. The study provides the ΣPFSA = 5.0 +- 0.9 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS concentration range.","""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min. max. percent range is given."". We estimated the median by adding the minimum and maximum value and dividing the result by two."
22/06/2022 16:04,m_021,sm_006,pfas_001,4.42,"Arithmetic mean percent reported in the study = 88.4 +- 1.7. The study provides the ΣPFSA = 5.0 +- 0.9 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.085,We calculated the SE from the standard error of the aritmetic mean percent.,0.240416306,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,mean_arithmetic=(ΣPFSA/100)*PFSA type arithmetic mean percent. SE=(ΣPFSA/100)*SE of the PFSA type arithmetic mean percent. SD=SE/SQRT(n).
22/06/2022 16:05,m_022,sm_006,pfas_005,0.57,"Arithmetic mean percent reported in the study = 11.4 +- 1.5. The study provides the ΣPFSA = 5.0 +- 0.9 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.075,We calculated the SE from the standard error of the aritmetic mean percent.,0.212132034,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,mean_arithmetic=(ΣPFSA/100)*PFSA type arithmetic mean percent. SE=(ΣPFSA/100)*SE of the PFSA type arithmetic mean percent. SD=SE/SQRT(n).
,m_023,sm_006,pfas_026,5,(ng/g ww),0.9,NA,2.545584412,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,NA
22/06/2022 16:15,m_025,sm_006,pfas_007,0.035355339,Mean = LOQ value / SQRT(2),NA,NA,NA,NA,8,adult,0.05,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""","""Value under the method limits of quantitation (MLOQs). MLOQs for PFSAs and PFCAs were <0.1 and <0.05 ng/g ww, respectively.""",NA,NA,LOQ,8,NA
22/06/2022 16:16,m_026,sm_006,pfas_002,0.05067767,(ng/g ww). Not provided. We estimated the mean using the formula from Wan et al. (2014) Scenario 1.,NA,NA,0.010683538,Not provided. We estimated the SD using the formula from Wan et al. (2014) Scenario 1.,8,adult,0.05,0.05067767,NA,0.035355339,0.066,"Percent range reported in the study = 0 - 0.3. The study provides the ΣPFCA = 22 +- 2 (mean +- SE, ng/g ww) from which we can calculate the max value. Min and Median = LOQ value / SQRT(2)","""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min. max. percent range is given."". We estimated the median by adding the minimum and maximum value and dividing the result by two."
22/06/2022 16:16,m_027,sm_006,pfas_008,0.035355339,Mean = LOQ value / SQRT(2),NA,NA,NA,NA,8,adult,0.05,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""","""Value under the method limits of quantitation (MLOQs). MLOQs for PFSAs and PFCAs were <0.1 and <0.05 ng/g ww, respectively.""",NA,NA,LOQ,8,NA
22/06/2022 16:18,m_028,sm_006,pfas_009,0.308,"Arithmetic mean percent reported in the study = 1.4 +- 0.3. The study provides the ΣPFCA = 22 +- 2 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.066,We calculated the SE from the standard error of the aritmetic mean percent.,0.18667619,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,mean_arithmetic=(ΣPFCA/100)*PFCA type arithmetic mean percent. SE=(ΣPFCA/100)*SE of the PFCA type arithmetic mean percent. SD=SE/SQRT(n).
22/06/2022 16:20,m_029,sm_006,pfas_010,0.814,"Arithmetic mean percent reported in the study = 3.7 +- 0.8. The study provides the ΣPFCA = 22 +- 2 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.176,We calculated the SE from the standard error of the aritmetic mean percent.,0.497803174,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,mean_arithmetic=(ΣPFCA/100)*PFCA type arithmetic mean percent. SE=(ΣPFCA/100)*SE of the PFCA type arithmetic mean percent. SD=SE/SQRT(n).
22/06/2022 16:33,m_030,sm_006,pfas_011,7.2,"Arithmetic mean percent reported in the study = 7.2 +- 0.9. The study provides the ΣPFCA = 22 +- 2 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.198,We calculated the SE from the standard error of the aritmetic mean percent.,0.560028571,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,mean_arithmetic=(ΣPFCA/100)*PFCA type arithmetic mean percent. SE=(ΣPFCA/100)*SE of the PFCA type arithmetic mean percent. SD=SE/SQRT(n).
22/06/2022 16:34,m_031,sm_006,pfas_012,8.162,"Arithmetic mean percent reported in the study = 37.1 +- 1.6. The study provides the ΣPFCA = 22 +- 2 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.352,We calculated the SE from the standard error of the aritmetic mean percent.,0.995606348,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,mean_arithmetic=(ΣPFCA/100)*PFCA type arithmetic mean percent. SE=(ΣPFCA/100)*SE of the PFCA type arithmetic mean percent. SD=SE/SQRT(n).
22/06/2022 16:35,m_032,sm_006,pfas_013,5.896,"Arithmetic mean percent reported in the study = 26.8 +- 1.4. The study provides the ΣPFCA = 22 +- 2 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.308,We calculated the SE from the standard error of the aritmetic mean percent.,0.871155554,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,mean_arithmetic=(ΣPFCA/100)*PFCA type arithmetic mean percent. SE=(ΣPFCA/100)*SE of the PFCA type arithmetic mean percent. SD=SE/SQRT(n).
22/06/2022 16:36,m_033,sm_006,pfas_014,5.236,"Arithmetic mean percent reported in the study = 23.8 +- 1.7. The study provides the ΣPFCA = 22 +- 2 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.374,We calculated the SE from the standard error of the aritmetic mean percent.,1.057831745,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,mean_arithmetic=(ΣPFCA/100)*PFCA type arithmetic mean percent. SE=(ΣPFCA/100)*SE of the PFCA type arithmetic mean percent. SD=SE/SQRT(n).
,m_034,sm_006,pfas_023,22,(ng/g ww),2,NA,5.656854249,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,NA
22/06/2022 16:44,m_035,sm_007,pfas_004,0.131955339,(ng/g ww). Not provided. We estimated the mean using the formula from Wan et al. (2014) Scenario 1.,NA,NA,0.042703013,Not provided. We estimated the SD using the formula from Wan et al. (2014) Scenario 1.,8,adult,0.1,0.131955339,NA,0.070710678,0.1932,"Percent range reported in the study = 0 - 2.1. The study provides the ΣPFSA = 9.2 +- 4.2 (mean +- SE, ng/g ww) from which we can calculate the max value. Min and Median = LOQ value / SQRT(2)","""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min. max. percent range is given."". We estimated the median by adding the minimum and maximum value and dividing the result by two."
22/06/2022 16:46,m_036,sm_007,pfas_001,9.1356,"Arithmetic mean percent reported in the study = 99.3 +- 0.4. The study provides the ΣPFSA = 9.2 +- 4.2 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.0368,We calculated the SE from the standard error of the aritmetic mean percent.,0.104086118,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,mean_arithmetic=(ΣPFSA/100)*PFSA type arithmetic mean percent. SE=(ΣPFSA/100)*SE of the PFSA type arithmetic mean percent. SD=SE/SQRT(n).
22/06/2022 16:47,m_037,sm_007,pfas_005,0.113555339,(ng/g ww). Not provided. We estimated the mean using the formula from Wan et al. (2014) Scenario 1.,NA,NA,0.029873561,Not provided. We estimated the SD using the formula from Wan et al. (2014) Scenario 1.,8,adult,0.1,0.113555339,NA,0.070710678,0.1564,"Percent range reported in the study = 0 - 1.7. The study provides the ΣPFSA = 9.2 +- 4.2 (mean +- SE, ng/g ww) from which we can calculate the max value. Min and Median = LOQ value / SQRT(2)","""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min. max. percent range is given."". We estimated the median by adding the minimum and maximum value and dividing the result by two."
,m_038,sm_007,pfas_026,9.2,(ng/g ww),4.2,NA,11.87939392,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,NA
22/06/2022 16:48,m_040,sm_007,pfas_007,0.035355339,Mean = LOQ value / SQRT(2),NA,NA,NA,NA,8,adult,0.05,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""","""Value under the method limits of quantitation (MLOQs). MLOQs for PFSAs and PFCAs were <0.1 and <0.05 ng/g ww, respectively.""",NA,NA,LOQ,8,NA
22/06/2022 16:50,m_041,sm_007,pfas_002,0.11767767,(ng/g ww). Not provided. We estimated the mean using the formula from Wan et al. (2014) Scenario 1.,NA,NA,0.057399477,Not provided. We estimated the SD using the formula from Wan et al. (2014) Scenario 1.,8,adult,0.05,0.11767767,NA,0.035355339,0.2,"Percent range reported in the study = 0 - 100. The study provides the ΣPFCA = 0.2 +- 0.1 (mean +- SE, ng/g ww) from which we can calculate the max value. Min and Median = LOQ value / SQRT(2)","""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min. max. percent range is given."". We estimated the median by adding the minimum and maximum value and dividing the result by two."
22/06/2022 16:52,m_042,sm_007,pfas_008,0.04897767,(ng/g ww). Not provided. We estimated the mean using the formula from Wan et al. (2014) Scenario 1.,NA,NA,0.009498208,Not provided. We estimated the SD using the formula from Wan et al. (2014) Scenario 1.,8,adult,0.05,0.04897767,NA,0.035355339,0.0626,"Percent range reported in the study = 0 - 31.3. The study provides the ΣPFCA = 0.2 +- 0.1 (mean +- SE, ng/g ww) from which we can calculate the max value. Min and Median = LOQ value / SQRT(2)","""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min. max. percent range is given."". We estimated the median by adding the minimum and maximum value and dividing the result by two."
22/06/2022 16:52,m_043,sm_007,pfas_009,0.05867767,(ng/g ww). Not provided. We estimated the mean using the formula from Wan et al. (2014) Scenario 1.,NA,NA,0.016261561,Not provided. We estimated the SD using the formula from Wan et al. (2014) Scenario 1.,8,adult,0.05,0.05867767,NA,0.035355339,0.082,"Percent range reported in the study = 0 - 41. The study provides the ΣPFCA = 0.2 +- 0.1 (mean +- SE, ng/g ww) from which we can calculate the max value. Min and Median = LOQ value / SQRT(2)","""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min. max. percent range is given."". We estimated the median by adding the minimum and maximum value and dividing the result by two."
22/06/2022 16:53,m_044,sm_007,pfas_010,0.10827767,(ng/g ww). Not provided. We estimated the mean using the formula from Wan et al. (2014) Scenario 1.,NA,NA,0.050845301,Not provided. We estimated the SD using the formula from Wan et al. (2014) Scenario 1.,8,adult,0.05,0.10827767,NA,0.035355339,0.1812,"Percent range reported in the study = 0 - 90.6. The study provides the ΣPFCA = 0.2 +- 0.1 (mean +- SE, ng/g ww) from which we can calculate the max value. Min and Median = LOQ value / SQRT(2)","""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min. max. percent range is given."". We estimated the median by adding the minimum and maximum value and dividing the result by two."
22/06/2022 16:54,m_045,sm_007,pfas_011,0.035355339,Mean = LOQ value / SQRT(2),NA,NA,NA,NA,8,adult,0.05,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""","""Value under the method limits of quantitation (MLOQs). MLOQs for PFSAs and PFCAs were <0.1 and <0.05 ng/g ww, respectively.""",NA,NA,LOQ,8,NA
23/06/2022 16:55,m_046,sm_007,pfas_012,0.035355339,Mean = LOQ value / SQRT(2),NA,NA,NA,NA,8,adult,0.05,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""","""Value under the method limits of quantitation (MLOQs). MLOQs for PFSAs and PFCAs were <0.1 and <0.05 ng/g ww, respectively.""",NA,NA,LOQ,8,NA
22/06/2022 16:55,m_047,sm_007,pfas_013,0.035355339,Mean = LOQ value / SQRT(2),NA,NA,NA,NA,8,adult,0.05,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""","""Value under the method limits of quantitation (MLOQs). MLOQs for PFSAs and PFCAs were <0.1 and <0.05 ng/g ww, respectively.""",NA,NA,LOQ,8,NA
22/06/2022 16:56,m_048,sm_007,pfas_014,0.035355339,Mean = LOQ value / SQRT(2),NA,NA,NA,NA,8,adult,0.05,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""","""Value under the method limits of quantitation (MLOQs). MLOQs for PFSAs and PFCAs were <0.1 and <0.05 ng/g ww, respectively.""",NA,NA,LOQ,8,NA
,m_049,sm_007,pfas_023,0.2,(ng/g ww),0.1,NA,0.282842713,NA,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,NA
